SF;Dose;P
0.126475463;5.365089167;P8
0.081145494;6.280019105;P8
0.102700405;5.372588592;P8
1;0;P9
0.882077812;2.076205481;P9
0.599529603;2.034472708;P9
0.748569152;2.03745362;P9
0.259505335;5.028799206;P9
0.295245107;4.943843203;P9
0.204899695;5.016875557;P9
0.009461393;10.11870712;P9
0.009143651;10.04418431;P9
1;0;P10
0.705809331;1.978315734;P10
0.727209204;2.003583478;P10
0.204643612;4.958423207;P10
0.222278603;4.992608979;P10
0.214545985;5.120434038;P10
0.00721451;9.973327255;P10
0.007382546;10.14128344;P10
0.003290003;14.13507335;P10
0.003415824;14.10534659;P10
